User Path,Num Direct Impressions,Num Indirect Impressions,Impressions Served,Has Converted (1/0 = yes/no),Count
imp (computer) - imp (phone),18,0,Indirect,0,2
imp (phone),39,0,Indirect,0,124
imp (tablet),291,0,Indirect,0,2
imp (phone),59,0,Indirect,0,37
imp (tablet) - click (tablet) - mobile site (tablet) - desktop site (tablet),0,28,Direct,1,3
imp (tablet) - mobile site (phone) - desktop site (phone),2,0,Indirect,1,40
imp (tablet),196,0,Indirect,0,4
imp (tablet) - click (tablet) - mobile site (tablet) - desktop site (tablet),1,12,Direct,1,1
imp (phone) - desktop site (phone),16,0,Indirect,1,5
imp (tablet) - click (tablet) - mobile site (tablet) - desktop site (tablet),0,59,Direct,1,1
mobile site (tablet) - imp (phone),1,0,Indirect,0,1
imp (other) - mobile site (other) - imp (tablet),9,0,Indirect,0,1
imp (phone) - desktop site (computer) - desktop site (phone) - desktop site (tablet),14,0,Indirect,1,1
imp (other) - imp (phone),58,0,Indirect,0,1
imp (phone) - desktop site (computer),37,0,Indirect,1,2
imp (tablet) - desktop site (computer),44,0,Indirect,1,1
imp (tablet) - click (tablet) - desktop site (tablet),0,83,Direct,1,1
imp (phone) - mobile site (other),2,0,Indirect,0,1
imp (phone) - click (phone) - mobile site (phone) - desktop site (phone) - desktop site (computer),0,5,Direct,1,1
imp (phone) - desktop site (phone) - desktop site (computer),0,1,Direct,1,8
imp (tablet),162,0,Indirect,0,3
imp (tablet),340,0,Indirect,0,1
imp (tablet) - click (tablet),5,0,Indirect,0,36
imp (tablet) - imp (phone),290,0,Indirect,0,1
imp (phone) - desktop site (phone) - desktop site (computer),2,0,Indirect,1,7
imp (tablet),275,0,Indirect,0,1
imp (tablet) - imp (phone) - desktop site (computer),30,0,Indirect,1,1
imp (phone) - imp (tablet) - click (tablet) - desktop site (tablet) - desktop site (phone),5,3,Direct,1,1
imp (phone) - imp (tablet) - desktop site (tablet) - desktop site (phone),15,0,Indirect,1,1
imp (phone),31,0,Indirect,0,190
imp (other) - imp (tablet),81,0,Indirect,0,1
imp (tablet) - imp (phone),105,0,Indirect,0,1
imp (other) - imp (tablet),12,0,Indirect,0,7
imp (phone) - desktop site (computer),36,0,Indirect,1,2
imp (tablet),201,0,Indirect,0,1
imp (phone) - click (phone) - desktop site (phone),4,0,Indirect,1,1
imp (tablet) - imp (phone),67,0,Indirect,0,2
imp (tablet),233,0,Indirect,0,1
imp (other) - click (other),98,0,Indirect,0,1
imp (tablet) - click (tablet) - mobile site (tablet) - desktop site (tablet),0,51,Direct,1,1
imp (tablet),173,0,Indirect,0,2
imp (phone),210,0,Indirect,0,2
imp (tablet) - imp (phone) - mobile site (tablet) - desktop site (tablet) - desktop site (computer),19,0,Indirect,1,1
imp (tablet) - imp (other),11,0,Indirect,0,4
imp (tablet) - mobile site (phone) - imp (phone),4,0,Indirect,0,1
imp (tablet) - mobile site (phone) - desktop site (phone),18,0,Indirect,1,1
imp (phone) - desktop site (phone),15,0,Indirect,1,8
imp (phone) - imp (tablet),42,0,Indirect,0,7
imp (phone) - desktop site (computer) - desktop site (phone),19,0,Indirect,1,3
imp (phone) - desktop site (computer),29,0,Indirect,1,3
imp (tablet) - imp (phone) - desktop site (computer),8,0,Indirect,1,4
imp (phone) - imp (tablet) - click (phone) - mobile site (phone) - desktop site (phone) - desktop site (tablet),3,8,Direct,1,1
imp (phone) - mobile site (tablet) - desktop site (tablet) - desktop site (computer),8,0,Indirect,1,1
imp (phone),53,0,Indirect,0,59
imp (other),39,0,Indirect,0,1
imp (phone) - desktop site (other),6,0,Indirect,1,2
imp (phone) - click (phone) - mobile site (phone) - desktop site (phone),3,5,Direct,1,1
imp (tablet),391,0,Indirect,0,1
imp (phone) - mobile site (phone) - click (phone) - desktop site (phone),0,30,Direct,1,1
imp (phone) - mobile site (phone) - desktop site (phone) - desktop site (tablet),3,0,Indirect,1,2
imp (tablet) - click (tablet) - desktop site (tablet),347,90,Direct,1,1
imp (tablet),365,0,Indirect,0,1
imp (phone),158,0,Indirect,0,3
imp (tablet) - click (tablet) - mobile site (tablet) - desktop site (tablet),11,0,Indirect,1,1
mobile site (phone) - imp (phone) - mobile site (tablet) - desktop site (tablet) - desktop site (phone),2,0,Indirect,1,1
imp (phone) - imp (other),10,0,Indirect,0,2
imp (phone) - click (phone) - mobile site (phone) - desktop site (phone),0,163,Direct,1,1
imp (phone) - desktop site (computer),76,0,Indirect,1,2
imp (tablet) - mobile site (tablet) - desktop site (tablet) - desktop site (computer),18,0,Indirect,1,1
imp (tablet) - desktop site (tablet),46,0,Indirect,1,1
imp (phone) - desktop site (phone),754,0,Indirect,1,1
imp (tablet),301,0,Indirect,0,1
imp (phone) - imp (tablet) - desktop site (tablet),14,5,Direct,1,1
imp (phone) - desktop site (phone),0,131,Direct,1,1
imp (other) - imp (tablet),9,0,Indirect,0,19
imp (phone) - desktop site (phone),0,5,Direct,1,18
imp (other) - imp (tablet),15,0,Indirect,0,6
imp (phone),124,0,Indirect,0,4
imp (phone) - imp (tablet) - mobile site (tablet) - desktop site (tablet),10,0,Indirect,1,1
imp (phone) - imp (other) - imp (tablet) - desktop site (phone) - desktop site (computer),9,0,Indirect,1,1
imp (tablet) - imp (phone) - click (phone),2,0,Indirect,0,2
imp (other) - mobile site (phone),1,0,Indirect,0,3
imp (tablet) - click (tablet) - mobile site (tablet) - desktop site (tablet),0,27,Direct,1,2
imp (other) - desktop site (computer),8,0,Indirect,1,1
imp (tablet) - desktop site (tablet),0,8,Direct,1,4
imp (phone) - imp (other),48,0,Indirect,0,1
mobile site (phone) - imp (tablet),3,0,Indirect,0,2
imp (tablet) - click (tablet) - desktop site (tablet) - desktop site (computer),278,0,Indirect,1,1
imp (tablet),236,0,Indirect,0,1
imp (phone) - mobile site (phone) - desktop site (phone) - desktop site (tablet),0,5,Direct,1,1
imp (phone) - click (phone) - mobile site (phone) - desktop site (phone),11,14,Direct,1,1
imp (phone),428,0,Indirect,0,1
imp (phone),157,0,Indirect,0,5
imp (phone) - mobile site (phone) - desktop site (phone) - desktop site (tablet),0,2,Direct,1,1
imp (phone),364,0,Indirect,0,1
imp (phone) - desktop site (other),5,0,Indirect,1,8
imp (tablet) - desktop site (phone),26,0,Indirect,1,1
imp (tablet) - imp (phone) - desktop site (tablet),6,0,Indirect,1,1
imp (phone),87,0,Indirect,0,16
imp (phone) - desktop site (computer) - desktop site (tablet),3,0,Indirect,1,2
imp (phone) - desktop site (phone) - desktop site (tablet),9,0,Indirect,1,1
imp (tablet) - desktop site (other),4,0,Indirect,1,3
imp (tablet) - imp (phone) - click (tablet) - desktop site (tablet),1,3,Direct,1,1
imp (phone) - click (phone) - mobile site (phone),15,0,Indirect,0,1
imp (tablet) - desktop site (tablet),32,0,Indirect,1,1
imp (phone),21,0,Indirect,0,517
imp (tablet) - mobile site (phone) - mobile site (tablet),1,0,Indirect,0,1
imp (phone) - desktop site (computer),20,0,Indirect,1,12
mobile site (phone) - desktop site (tablet) - desktop site (phone),0,0,None,1,5
imp (other),32,0,Indirect,0,4
imp (tablet) - imp (phone) - click (phone) - desktop site (phone),64,3,Direct,1,1
imp (phone),82,0,Indirect,0,17
imp (phone) - imp (tablet),64,0,Indirect,0,3
imp (tablet),156,0,Indirect,0,7
imp (phone) - imp (tablet) - desktop site (other) - desktop site (tablet),36,0,Indirect,1,1
imp (phone) - desktop site (tablet),12,0,Indirect,1,4
imp (other) - desktop site (tablet),5,0,Indirect,1,1
imp (tablet) - imp (phone),38,0,Indirect,0,6
imp (phone) - desktop site (phone),0,26,Direct,1,1
imp (other) - imp (tablet),34,0,Indirect,0,3
imp (phone) - click (phone),114,0,Indirect,0,1
imp (tablet) - imp (phone),81,0,Indirect,0,2
imp (phone) - desktop site (computer),90,0,Indirect,1,1
imp (tablet) - mobile site (phone),9,0,Indirect,0,1
imp (tablet) - imp (phone) - mobile site (phone) - desktop site (phone) - desktop site (computer),1,1,Direct,1,1
imp (tablet) - click (tablet) - desktop site (tablet),0,16,Direct,1,2
imp (tablet) - desktop site (computer) - desktop site (tablet),11,0,Indirect,1,2
imp (tablet) - click (tablet) - desktop site (tablet),1,2,Direct,1,2
imp (phone) - imp (other) - desktop site (phone),4,0,Indirect,1,1
imp (tablet) - click (tablet),43,0,Indirect,0,4
imp (computer) - imp (tablet) - click (tablet),3,0,Indirect,0,1
imp (tablet),180,0,Indirect,0,6
imp (tablet) - mobile site (other) - desktop site (other),0,1,Direct,1,1
imp (phone) - desktop site (computer),83,0,Indirect,1,1
imp (phone) - imp (tablet) - click (tablet) - desktop site (tablet),2,0,Indirect,1,2
imp (tablet) - desktop site (computer),10,0,Indirect,1,11
imp (phone) - click (phone) - desktop site (phone),1,6,Direct,1,1
imp (tablet) - click (tablet) - imp (phone),2,0,Indirect,0,4
imp (phone) - click (phone) - mobile site (phone) - desktop site (phone),16,55,Direct,1,1
imp (computer),15,0,Indirect,0,4
imp (phone) - mobile site (phone) - desktop site (phone) - desktop site (tablet),7,0,Indirect,1,1
imp (phone) - desktop site (phone) - desktop site (tablet) - desktop site (computer),0,1,Direct,1,1
imp (tablet) - click (tablet),20,0,Indirect,0,2
imp (tablet) - imp (phone) - click (tablet) - desktop site (tablet),17,2,Direct,1,1
imp (tablet) - mobile site (tablet) - desktop site (tablet),2,0,Indirect,1,17
imp (tablet) - imp (phone) - mobile site (tablet) - desktop site (tablet),2,4,Direct,1,1
imp (other),84,0,Indirect,0,1
imp (phone) - click (phone) - mobile site (phone),2,0,Indirect,0,1
imp (phone),104,0,Indirect,0,12
imp (phone) - mobile site (phone) - desktop site (phone) - desktop site (computer),1,0,Indirect,1,38
imp (phone) - mobile site (other) - desktop site (other) - desktop site (phone),4,0,Indirect,1,2
imp (tablet) - desktop site (phone),51,0,Indirect,1,1
imp (phone),118,0,Indirect,0,8
imp (phone) - desktop site (phone) - desktop site (other),0,1,Direct,1,1
imp (tablet),95,0,Indirect,0,20
imp (tablet),240,0,Indirect,0,3
imp (tablet),440,0,Indirect,0,1
imp (phone) - desktop site (tablet),8,0,Indirect,1,8
imp (tablet),229,0,Indirect,0,3
imp (tablet) - desktop site (phone),80,0,Indirect,1,1
imp (tablet) - desktop site (phone),45,0,Indirect,1,1
imp (other),7,0,Indirect,0,59
imp (tablet) - imp (phone) - mobile site (phone) - desktop site (phone),42,0,Indirect,1,1
imp (phone) - imp (tablet) - click (tablet) - mobile site (tablet) - desktop site (tablet),2,2,Direct,1,2
imp (phone) - desktop site (computer) - desktop site (tablet),18,0,Indirect,1,1
imp (phone),101,0,Indirect,0,5
imp (tablet),183,0,Indirect,0,3
imp (tablet) - imp (phone) - desktop site (other),2,0,Indirect,1,1
imp (phone) - desktop site (computer),89,0,Indirect,1,1
imp (phone) - imp (tablet) - desktop site (computer),50,0,Indirect,1,1
imp (phone) - imp (tablet) - click (phone),21,0,Indirect,0,1
imp (tablet) - click (tablet) - mobile site (tablet) - desktop site (tablet),7,0,Indirect,1,4
imp (tablet) - click (tablet),161,0,Indirect,0,1
imp (computer),7,0,Indirect,0,10
imp (tablet) - click (tablet) - desktop site (tablet),2,4,Direct,1,1
imp (tablet),205,0,Indirect,0,1
imp (tablet) - desktop site (other) - desktop site (computer),9,0,Indirect,1,1
imp (phone) - imp (tablet) - desktop site (phone),7,0,Indirect,1,1
imp (phone) - desktop site (computer),3,0,Indirect,1,289
imp (phone) - desktop site (phone) - desktop site (computer) - desktop site (tablet),1,0,Indirect,1,1
imp (other) - imp (tablet) - desktop site (computer),9,0,Indirect,1,1
imp (phone) - mobile site (phone) - desktop site (phone) - desktop site (computer),28,0,Indirect,1,1
imp (tablet) - desktop site (tablet),14,0,Indirect,1,5
imp (phone) - imp (tablet) - mobile site (phone) - desktop site (phone),33,0,Indirect,1,1
imp (tablet),112,0,Indirect,0,8
imp (other),23,0,Indirect,0,7
imp (phone) - click (phone) - mobile site (phone) - desktop site (phone),3,124,Direct,1,1
imp (phone) - mobile site (tablet) - desktop site (tablet) - desktop site (phone),1,0,Indirect,1,1
imp (phone) - desktop site (tablet),149,0,Indirect,1,1
imp (tablet) - desktop site (phone),94,0,Indirect,1,1
imp (tablet) - mobile site (tablet) - desktop site (tablet),9,0,Indirect,1,1
imp (phone) - mobile site (phone) - desktop site (phone),3,1,Direct,1,1
imp (computer) - imp (tablet),9,0,Indirect,0,2
imp (phone),24,0,Indirect,0,378
desktop site (tablet) - desktop site (computer) - desktop site (other),0,0,None,1,8
imp (tablet) - mobile site (tablet) - desktop site (tablet) - desktop site (computer),3,0,Indirect,1,1
imp (tablet) - desktop site (tablet) - desktop site (phone),5,1,Direct,1,1
imp (tablet) - click (tablet),4,0,Indirect,0,49
imp (tablet) - imp (other),214,0,Indirect,0,1
imp (phone) - imp (tablet) - desktop site (computer),3,0,Indirect,1,9
imp (phone) - imp (other),11,0,Indirect,0,6
imp (phone) - mobile site (phone),7,0,Indirect,0,2
imp (tablet) - desktop site (other),7,0,Indirect,1,2
imp (other),41,0,Indirect,0,1
imp (phone) - click (phone) - mobile site (phone) - desktop site (phone),10,1,Direct,1,1
imp (phone) - imp (other),61,0,Indirect,0,1
imp (phone),35,0,Indirect,0,167
imp (other) - imp (tablet) - desktop site (tablet),0,5,Direct,1,2
imp (tablet) - imp (phone) - desktop site (computer),186,0,Indirect,1,1
imp (other) - desktop site (phone),0,1,Direct,1,23
imp (tablet),221,0,Indirect,0,1
imp (tablet) - mobile site (other) - desktop site (other) - desktop site (tablet),0,2,Direct,1,1
imp (tablet) - imp (phone) - desktop site (tablet) - desktop site (computer),8,0,Indirect,1,1
imp (tablet),220,0,Indirect,0,2
imp (computer) - desktop site (computer),0,2,Direct,1,3
imp (tablet),338,0,Indirect,0,1
imp (phone) - click (phone),6,0,Indirect,0,37
imp (other),40,0,Indirect,0,1
imp (phone) - imp (tablet),101,0,Indirect,0,3
imp (tablet) - click (tablet) - desktop site (tablet),0,1,Direct,1,321
imp (tablet) - mobile site (phone) - desktop site (phone) - desktop site (tablet) - desktop site (computer),23,0,Indirect,1,1
imp (tablet),297,0,Indirect,0,2
imp (tablet) - desktop site (phone),4,0,Indirect,1,13
imp (other) - click (other),13,0,Indirect,0,1
imp (phone) - imp (other),81,0,Indirect,0,1
imp (tablet) - desktop site (phone),10,0,Indirect,1,3
imp (tablet) - imp (phone),10,0,Indirect,0,104
imp (tablet) - click (tablet) - desktop site (tablet),39,0,Indirect,1,1
imp (other) - imp (tablet) - mobile site (phone) - desktop site (phone),2,0,Indirect,1,1
mobile site (phone) - desktop site (phone) - desktop site (other) - desktop site (tablet),0,0,None,1,2
imp (phone) - desktop site (computer) - desktop site (phone),3,0,Indirect,1,12
imp (phone) - click (phone) - desktop site (phone),0,15,Direct,1,10
imp (tablet),433,0,Indirect,0,1
imp (tablet) - imp (phone) - desktop site (computer) - desktop site (phone),3,0,Indirect,1,2
imp (tablet) - click (tablet),30,0,Indirect,0,1
imp (phone),15,0,Indirect,0,1163
imp (tablet),357,0,Indirect,0,2
imp (phone) - desktop site (other) - desktop site (tablet),2,0,Indirect,1,2
imp (other) - imp (tablet) - click (tablet),5,0,Indirect,0,1
imp (phone) - click (phone) - imp (tablet),9,0,Indirect,0,1
imp (tablet) - click (tablet) - desktop site (tablet),0,14,Direct,1,6
imp (tablet),254,0,Indirect,0,1
imp (phone) - mobile site (phone) - desktop site (phone),12,0,Indirect,1,3
imp (tablet) - imp (phone) - mobile site (tablet) - desktop site (tablet),2,191,Direct,1,1
imp (tablet) - click (tablet) - desktop site (tablet),84,0,Indirect,1,1
imp (tablet) - imp (phone),48,0,Indirect,0,3
imp (computer),48,0,Indirect,0,1
imp (phone) - imp (tablet) - desktop site (tablet),4,0,Indirect,1,2
imp (phone) - desktop site (tablet) - desktop site (computer) - desktop site (phone),44,0,Indirect,1,1
imp (phone) - desktop site (phone),0,12,Direct,1,2
imp (phone) - mobile site (phone) - desktop site (phone),7,1,Direct,1,1
imp (tablet) - imp (phone) - desktop site (phone),30,0,Indirect,1,1
imp (tablet),247,0,Indirect,0,1
imp (tablet),422,0,Indirect,0,1
imp (tablet),467,0,Indirect,0,1
imp (phone) - click (phone) - desktop site (phone),4,4,Direct,1,1
mobile site (phone) - desktop site (phone) - desktop site (tablet) - desktop site (other) - desktop site (computer),0,0,None,1,1
imp (phone) - desktop site (phone),0,3,Direct,1,33
imp (tablet) - imp (phone) - mobile site (phone) - desktop site (phone),4,0,Indirect,1,1
imp (tablet) - click (tablet) - desktop site (tablet),2,24,Direct,1,1
imp (other) - click (other) - mobile site (tablet) - desktop site (tablet),0,2,Direct,1,1
imp (tablet) - desktop site (computer),14,0,Indirect,1,5
imp (phone) - desktop site (phone) - desktop site (computer),0,3,Direct,1,1
imp (tablet) - imp (phone) - click (phone) - desktop site (phone),6,6,Direct,1,1
imp (phone) - desktop site (phone),0,8,Direct,1,7
desktop site (other) - desktop site (tablet) - desktop site (phone),0,0,None,1,11
imp (tablet) - desktop site (computer) - desktop site (tablet),206,0,Indirect,1,1
imp (phone) - click (phone) - desktop site (phone),0,40,Direct,1,1
imp (phone) - desktop site (phone),1,3,Direct,1,1
imp (tablet) - click (tablet) - desktop site (tablet),0,10,Direct,1,7
click (other) - mobile site (phone) - desktop site (phone),0,0,None,1,1
imp (tablet) - desktop site (tablet),12,0,Indirect,1,4
desktop site (computer) - desktop site (other) - desktop site (phone) - desktop site (tablet),0,0,None,1,1
imp (phone) - mobile site (phone) - desktop site (phone),10,0,Indirect,1,5
imp (tablet) - imp (phone) - mobile site (phone) - desktop site (phone),2,1,Direct,1,1
imp (tablet) - click (tablet),276,0,Indirect,0,1
imp (tablet) - imp (phone),51,0,Indirect,0,7
imp (tablet),471,0,Indirect,0,1
imp (tablet) - mobile site (phone) - desktop site (computer),1,0,Indirect,1,2
imp (tablet) - click (tablet),287,0,Indirect,0,1
imp (tablet),157,0,Indirect,0,1
imp (phone) - click (phone) - desktop site (phone) - desktop site (computer),0,4,Direct,1,1
imp (phone) - desktop site (other) - desktop site (computer) - desktop site (phone),3,0,Indirect,1,1
imp (phone) - imp (tablet) - desktop site (tablet),7,0,Indirect,1,2
imp (tablet),135,0,Indirect,0,3
imp (phone) - imp (tablet) - click (tablet),17,0,Indirect,0,1
imp (phone),27,0,Indirect,0,291
imp (phone) - mobile site (computer) - desktop site (computer) - desktop site (tablet),2,0,Indirect,1,1
imp (phone) - click (phone) - desktop site (phone),0,1,Direct,1,1013
imp (tablet) - click (tablet) - mobile site (tablet) - desktop site (tablet),0,21,Direct,1,3
imp (phone),155,0,Indirect,0,1
imp (phone) - click (phone) - desktop site (phone),0,8,Direct,1,25
imp (tablet) - imp (phone) - click (phone) - mobile site (phone) - desktop site (phone),1,2,Direct,1,1
imp (tablet) - click (tablet) - desktop site (tablet) - desktop site (computer),0,6,Direct,1,1
imp (phone) - imp (tablet) - desktop site (computer),17,0,Indirect,1,1
imp (tablet) - imp (phone),107,0,Indirect,0,1
imp (tablet) - imp (other),69,0,Indirect,0,2
imp (tablet) - imp (phone),223,0,Indirect,0,1
imp (phone),30,0,Indirect,0,251
imp (phone) - imp (tablet) - click (tablet) - mobile site (tablet) - desktop site (tablet),42,0,Indirect,1,1
imp (tablet),133,0,Indirect,0,2
imp (tablet) - desktop site (tablet),8,0,Indirect,1,10
imp (tablet) - mobile site (tablet) - desktop site (tablet) - desktop site (phone),0,2,Direct,1,1
imp (tablet),194,0,Indirect,0,2
mobile site (other) - desktop site (other) - desktop site (phone),0,0,None,1,818
imp (phone) - mobile site (other) - desktop site (other) - desktop site (phone),7,0,Indirect,1,1
mobile site (tablet) - desktop site (other) - desktop site (computer),0,0,None,1,4
imp (phone),5,0,Indirect,0,14514
imp (phone) - click (phone),72,0,Indirect,0,1
imp (tablet),126,0,Indirect,0,8
imp (phone) - mobile site (phone) - desktop site (phone),1,2,Direct,1,4
imp (tablet),3,0,Indirect,0,18487
imp (phone) - imp (computer),9,0,Indirect,0,1
imp (phone) - imp (computer),6,0,Indirect,0,3
imp (phone) - desktop site (phone),36,0,Indirect,1,1
imp (tablet) - click (tablet) - desktop site (tablet),0,37,Direct,1,2
imp (phone) - imp (tablet) - click (phone) - mobile site (phone) - desktop site (phone),1,20,Direct,1,1
imp (tablet),142,0,Indirect,0,5
imp (tablet) - click (tablet) - desktop site (tablet),0,8,Direct,1,15
imp (tablet) - mobile site (phone) - desktop site (phone),4,0,Indirect,1,7
imp (tablet) - imp (phone),622,0,Indirect,0,1
imp (phone) - imp (tablet),53,0,Indirect,0,4
imp (tablet) - imp (phone),6,0,Indirect,0,208
imp (phone) - click (phone),42,0,Indirect,0,1
imp (phone) - mobile site (tablet) - desktop site (tablet),4,0,Indirect,1,1
imp (tablet) - desktop site (tablet) - desktop site (phone),4,0,Indirect,1,1
imp (phone),74,0,Indirect,0,23
imp (phone) - imp (other),31,0,Indirect,0,2
imp (phone),81,0,Indirect,0,18
imp (other) - imp (phone),3,0,Indirect,0,95
imp (phone) - click (phone) - mobile site (phone) - desktop site (phone),0,75,Direct,1,1
imp (phone) - imp (tablet),31,0,Indirect,0,13
imp (phone) - click (phone) - mobile site (phone) - desktop site (phone),0,141,Direct,1,1
imp (phone) - imp (tablet) - click (tablet) - desktop site (tablet),1,2,Direct,1,1
imp (phone) - click (phone) - desktop site (phone),2,1,Direct,1,9
imp (tablet) - desktop site (tablet),17,0,Indirect,1,2
imp (phone) - imp (other) - desktop site (phone),0,3,Direct,1,1
imp (phone) - imp (computer) - imp (tablet),73,0,Indirect,0,1
imp (other) - imp (tablet) - click (tablet) - desktop site (tablet),0,2,Direct,1,2
imp (phone) - imp (tablet),46,0,Indirect,0,5
imp (phone),176,0,Indirect,0,3
mobile site (phone) - desktop site (other),0,0,None,1,104
imp (phone) - desktop site (phone),38,0,Indirect,1,2
imp (other) - imp (phone),18,0,Indirect,0,2
imp (phone) - click (phone) - mobile site (phone) - desktop site (phone),0,17,Direct,1,2
imp (phone),44,0,Indirect,0,88
imp (tablet) - click (tablet),172,0,Indirect,0,1
imp (phone) - mobile site (phone) - desktop site (phone),0,2,Direct,1,160
imp (tablet),130,0,Indirect,0,6
imp (tablet) - imp (phone),111,0,Indirect,0,1
imp (tablet),411,0,Indirect,0,1
imp (tablet),273,0,Indirect,0,1
imp (phone) - click (phone) - mobile site (phone) - desktop site (phone),0,44,Direct,1,1
imp (tablet) - click (tablet),385,0,Indirect,0,1
imp (other) - imp (phone),11,0,Indirect,0,6
imp (phone) - click (phone) - mobile site (phone) - desktop site (phone),0,16,Direct,1,4
imp (phone) - click (phone),49,0,Indirect,0,2
imp (tablet),163,0,Indirect,0,5
imp (tablet) - imp (phone) - desktop site (tablet),13,0,Indirect,1,1
imp (tablet) - mobile site (phone) - imp (phone),5,0,Indirect,0,1
imp (phone) - click (phone) - mobile site (phone) - desktop site (phone),23,0,Indirect,1,2
imp (tablet) - click (tablet) - desktop site (tablet),0,25,Direct,1,2
imp (other) - imp (tablet),95,0,Indirect,0,1
imp (phone) - imp (tablet),18,0,Indirect,0,40
imp (phone) - imp (tablet) - desktop site (computer),27,0,Indirect,1,1
imp (phone) - click (phone) - desktop site (phone),15,15,Direct,1,1
imp (tablet),117,0,Indirect,0,8
imp (tablet),92,0,Indirect,0,12
imp (phone) - mobile site (phone) - desktop site (phone),43,0,Indirect,1,1
imp (phone) - desktop site (tablet),14,0,Indirect,1,1
imp (tablet) - click (tablet) - imp (phone),3,0,Indirect,0,2
imp (computer) - imp (phone),6,0,Indirect,0,1
imp (tablet) - desktop site (phone),27,0,Indirect,1,1
imp (phone) - imp (tablet),45,0,Indirect,0,7
mobile site (tablet) - desktop site (tablet) - desktop site (computer),0,0,None,1,260
imp (phone) - desktop site (computer),33,0,Indirect,1,1
imp (tablet) - click (tablet) - desktop site (tablet),0,28,Direct,1,2
imp (phone) - desktop site (tablet) - desktop site (phone) - desktop site (computer),1,0,Indirect,1,3
imp (computer) - imp (other) - imp (tablet),6,0,Indirect,0,1
imp (phone),63,0,Indirect,0,34
imp (computer),5,0,Indirect,0,17
imp (phone),262,0,Indirect,0,3
imp (phone) - click (phone) - mobile site (phone) - desktop site (phone) - desktop site (tablet),0,3,Direct,1,1
click (tablet) - imp (tablet),1,0,Indirect,0,2
